"id","label","type","lines"
"package.json:@supabase/supabase-js","@supabase/supabase-js","dependency","[-]"
"package.json:dotenv","dotenv","dependency","[-]"
"package.json:date-fns","date-fns","dependency","[-], [-], [-]"
"package.json:d3","d3","dependency","[-]"
"data.js:loadBookmarks","loadBookmarks","function","[14-31]"
"data.js:formatTableData","formatTableData","function","[37-54]"
"data.js:reloadBookmarks","reloadBookmarks","function","[56-62]"
"data.js:searchBookmarks","searchBookmarks","function","[64-84]"
"data.js:displayScrapJson","displayScrapJson","function","[86-105]"
"package.json:commander","commander","dependency","[-]"
"package.json:blessed","blessed","dependency","[-], [-], [-]"
"index.mjs:showLoadingScreen","showLoadingScreen","function","[13-85]"
"index.mjs:main","main","function","[88-156]"
"package.json:blessed-contrib","blessed-contrib","dependency","[-]"
"package.json:chalk","chalk","dependency","[-]"
"ui.js:stopCurrentAnimation","stopCurrentAnimation","function","[14-19]"
"ui.js:viewSummary","viewSummary","function","[21-65]"
"ui.js:updateSummary","updateSummary","function","[67-90]"
"ui.js:updateDisplay","updateDisplay","function","[123-139]"
"ui.js:showBookmarkInfo","showBookmarkInfo","function","[719-727]"
