"source","target","type"
"data.js:global","package.json:@supabase/supabase-js","imports"
"data.js:global","package.json:dotenv","imports"
"data.js:global","package.json:date-fns","imports"
"data.js:global","package.json:d3","imports"
"data.js:global","data.js:loadBookmarks","calls"
"index.mjs:global","package.json:commander","imports"
"index.mjs:global","package.json:blessed","imports"
"index.mjs:global","index.mjs:showLoadingScreen","calls"
"index.mjs:global","data.js:loadBookmarks","calls"
"index.mjs:global","index.mjs:main","calls"
"index.mjs:global","data.js:displayScrapJson","calls"
"ui.js:global","package.json:blessed","imports"
"ui.js:global","package.json:blessed-contrib","imports"
"ui.js:global","package.json:date-fns","imports"
"ui.js:global","package.json:chalk","imports"
"ui.js:global","ui.js:stopCurrentAnimation","calls"
"ui.js:global","ui.js:viewSummary","calls"
"ui.js:global","data.js:formatTableData","calls"
"ui.js:global","ui.js:updateDisplay","calls"
"ui.js:global","data.js:reloadBookmarks","calls"
"ui.js:global","ui.js:updateSummary","calls"
"ui.js:global","data.js:searchBookmarks","calls"
"ui.js:global","ui.js:showBookmarkInfo","calls"
